City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
363,Gravdal,NO,68.1214,13.5031,28.4,86,40,2.3
364,Carutapera,BR,-1.195,-46.02,80.53,72,77,8.48
365,Bayan,CN,46.0833,127.4,-3.87,91,100,3.96
366,Zaria,NG,11.1113,7.7227,73.76,20,0,10.6
367,Usinsk,RU,65.9939,57.5281,-12.19,89,89,12.88
368,Dingli,MT,35.8614,14.3822,60.01,94,38,4.61
369,Westerland,DE,54.9079,8.3033,32.0,80,90,26.46
370,Sirjan,IR,29.452,55.6814,49.48,42,0,8.16
371,Syracuse,IT,37.0881,15.2792,63.0,82,0,9.22
372,Katihar,IN,25.5333,87.5833,61.0,56,0,5.48
373,Latehar,IN,23.75,84.5,52.68,64,0,1.79
374,Dutse,NG,11.7594,9.3392,72.43,22,0,11.25
375,Stornoway,GB,58.2093,-6.3865,39.2,70,75,20.71
376,Altay,CN,47.8667,88.1167,17.15,86,100,2.37
377,Canutama,BR,-6.5339,-64.3831,77.41,93,100,0.63
378,Sembe,CG,1.6481,14.5806,76.15,73,0,2.73
379,Nortelandia,BR,-14.4547,-56.8028,83.97,75,96,3.67
380,Potsdam,DE,52.3989,13.0657,32.0,94,99,12.88
381,Pauini,BR,-7.7136,-66.9764,82.74,80,70,2.62
382,Saint-Joseph,RE,-21.3667,55.6167,78.8,65,0,4.61
383,Pudozh,RU,61.8099,36.5345,3.06,91,100,9.19
384,Olafsvik,IS,64.8945,-23.7142,38.37,77,93,29.42
385,Ucar,AZ,40.519,47.6542,51.8,46,75,26.46
386,Ipixuna,BR,-1.7625,-48.8043,86.0,70,40,9.22
387,Kachkanar,RU,58.7,59.4948,35.73,97,100,7.94
388,Giyon,ET,8.5333,37.9833,62.1,40,74,0.78
389,Tema,GH,5.667,-0.0166,82.4,83,0,10.36
390,Luanda,AO,-8.8368,13.2343,78.8,83,0,10.36
391,Swellendam,ZA,-34.0226,20.4417,68.0,83,0,3.44
392,Lalpur,IN,22.2,69.9667,62.49,32,0,10.09
393,Isny,DE,47.7,10.0333,45.0,89,100,5.97
394,Praia,CV,14.9215,-23.5087,69.8,64,40,20.71
395,Andover,GB,51.2083,-1.4825,44.01,93,75,5.75
396,Waddan,LY,29.1614,16.139,64.15,29,100,10.8
397,Loiza,PR,18.4313,-65.8802,82.4,65,40,18.41
398,Naliya,IN,23.2667,68.8333,63.55,50,0,10.71
399,Tarut,SA,26.5733,50.0369,66.2,72,0,3.44
400,Meshchovsk,RU,54.3244,35.2808,5.22,95,95,9.19
401,Edgewater,US,28.9889,-80.9023,77.0,46,40,9.22
402,Monroe,US,43.1501,-77.6831,33.01,64,40,19.57
403,Honningsvag,NO,70.9821,25.9704,32.0,59,75,26.46
404,Colon,PA,9.3592,-79.9014,87.01,63,95,5.99
405,Arivonimamo,MG,-19.0167,47.1833,68.0,94,75,2.3
406,Marrakesh,MA,31.6315,-8.0083,51.8,82,75,10.36
407,Cullman,US,34.1748,-86.8436,53.01,29,1,5.75
408,Albertville,US,34.2676,-86.2089,50.0,34,1,11.5
